Task,Run,Algorithm,Iteration,ValidationRMSE
Spain Solar,3,CCO,7,486.769597063128
Spain Solar,3,CCO,8,486.769597063128
Spain Solar,3,CCO,9,486.769597063128
Spain Solar,3,CCO,10,484.010814703556
Spain Solar,3,CCO,11,484.010814703556
Spain Solar,3,CCO,12,484.010814703556
Spain Solar,3,CCO,13,484.010814703556
Spain Solar,3,CCO,14,471.5857391556704
Spain Solar,3,CCO,15,471.5857391556704
Denmark Wind,1,GA,0,346.3015530213516
Denmark Wind,1,GA,1,346.3015530213516
Denmark Wind,1,GA,2,334.42953994451506
Denmark Wind,1,GA,3,331.14197531043993
Denmark Wind,1,GA,4,331.14197531043993
Denmark Wind,1,GA,5,330.62312145023975
Denmark Wind,1,GA,6,325.7676630859791
Denmark Wind,1,GA,7,325.7676630859791
Denmark Wind,1,GA,8,325.6899887162637
Denmark Wind,1,GA,9,325.5573706161481
Denmark Wind,1,GA,10,324.2378684122199
Denmark Wind,1,GA,11,324.2378684122199
Denmark Wind,1,GA,12,324.2378684122199
Denmark Wind,1,GA,13,324.2378684122199
Denmark Wind,1,GA,14,324.2378684122199
Denmark Wind,1,GA,15,324.2378684122199
Denmark Wind,1,PSO,0,439.2673410065902
Denmark Wind,1,PSO,1,342.20376102915645
Denmark Wind,1,PSO,2,342.20376102915645
Denmark Wind,1,PSO,3,335.023856426673
Denmark Wind,1,PSO,4,335.023856426673
Denmark Wind,1,PSO,5,335.023856426673
Denmark Wind,1,PSO,6,335.023856426673
Denmark Wind,1,PSO,7,335.023856426673
Denmark Wind,1,PSO,8,334.8518562364557
Denmark Wind,1,PSO,9,334.8518562364557
Denmark Wind,1,PSO,10,331.58359381534547
Denmark Wind,1,PSO,11,331.58359381534547
Denmark Wind,1,PSO,12,331.58359381534547
Denmark Wind,1,PSO,13,331.58359381534547
Denmark Wind,1,PSO,14,331.58359381534547
Denmark Wind,1,PSO,15,331.58359381534547
Denmark Wind,1,CCO,0,439.2673410065902
